team,elo,point_diff,popularity,star_qb,ref_bias,qb_new_relationship,madden_cover,si_cover,sb_hangover,contract_year,farewell_tour,coach_hot_seat,owner_controversy,heisman_qb,color_rush_record
ARI,1505,12,0.38,0.58,-0.02,0,0,0,0,0,0,0,0,1,0
ATL,1485,-7,0.45,0.55,0.00,0,0,0,0,0,0,0,0,0,0
BAL,1645,18,0.76,0.95,0.05,0,0,0,0,0,0,0,0,1,0
BUF,1635,5,0.70,0.92,0.00,0,0,0,0,1,0,0,0,0,0
CAR,1460,-22,0.38,0.45,-0.04,0,0,0,0,0,0,1,0,0,0
CHI,1560,22,0.78,0.70,0.00,0,0,0,0,0,0,0,0,1,0
CIN,1585,6,0.63,0.90,0.03,0,0,0,0,0,0,0,0,1,0
CLE,1435,-24,0.52,0.45,-0.05,0,0,0,0,0,0,1,0,0,0
DAL,1535,-8,1.00,0.70,0.20,1,0,0,0,0,0,1,1,0,0
DEN,1580,65,0.58,0.78,0.02,0,0,0,0,0,0,0,0,0,0
DET,1588,1,0.55,0.76,0.00,0,0,0,0,1,0,0,0,0,0
GB,1530,-17,0.75,0.75,0.05,0,0,0,0,0,1,0,0,0,1
HOU,1575,-5,0.58,0.82,0.02,0,0,0,0,0,0,0,0,0,0
IND,1500,-18,0.48,0.60,-0.02,0,0,0,0,0,0,0,0,0,0
JAX,1575,24,0.44,0.72,0.02,0,0,0,0,0,0,0,0,0,0
KC,1650,95,0.90,1.00,0.10,0,0,1,0,0,0,0,0,0,0
LAC,1550,-12,0.58,0.85,0.00,0,0,0,0,0,0,0,0,0,0
LV,1525,14,0.62,0.55,0.00,0,0,0,0,0,0,0,0,0,0
LAR,1580,-20,0.66,0.78,0.00,0,0,0,0,0,0,0,0,0,0
MIA,1495,-14,0.50,0.65,-0.05,0,0,0,0,0,0,0,0,0,0
MIN,1585,17,0.56,0.72,0.00,0,0,0,0,0,0,0,0,0,0
NE,1505,-3,0.82,0.58,0.00,0,0,0,0,0,0,0,0,0,0
NO,1468,-1,0.50,0.42,-0.02,0,0,0,0,0,0,1,0,0,0
NYG,1515,8,0.60,0.58,-0.10,0,0,0,0,0,0,0,0,0,0
NYJ,1515,13,0.65,0.55,0.00,0,0,0,0,1,0,0,0,0,0
PHI,1640,2,0.82,0.88,0.05,0,0,0,0,0,0,0,0,0,0
PIT,1545,7,0.72,0.60,0.02,0,0,0,0,1,0,0,0,0,0
SEA,1570,3,0.62,0.68,0.00,0,0,0,0,0,0,0,0,0,0
SF,1640,20,0.80,0.85,-0.05,0,1,0,0,0,0,0,0,0,1
TB,1540,-6,0.50,0.70,0.00,0,0,0,0,0,0,0,0,0,0
TEN,1455,-13,0.35,0.45,-0.03,0,0,0,0,0,0,1,0,0,0
WSH,1530,-2,0.55,0.70,0.00,0,0,0,0,0,0,0,0,1,0
