team_a,team_b,ml_a,ml_b,spread,week,ctx_b_home,ctx_a_primetime,ctx_b_primetime,ctx_divisional_game
DET,BUF,170,-205,4.5,2,1,1,1,0
CAR,ATL,-125,105,1.5,2,1,0,0,1
CIN,HOU,125,-150,3.0,2,1,0,0,0
CLE,TB,325,-425,8.5,2,1,0,0,0
GB,NYJ,-220,180,4.5,2,1,0,0,0
MIN,CHI,200,-245,5.5,2,1,0,0,1
NO,BAL,325,-425,8.5,2,1,0,0,0
PHI,TEN,-340,270,7.0,2,1,0,0,0
PIT,NE,195,-240,5.5,2,1,0,0,0
JAX,DEN,125,-150,2.5,2,1,0,0,0
LV,LAC,250,-310,6.5,2,1,0,0,1
MIA,SF,600,-900,12.5,2,1,0,0,0
SEA,ARI,-225,185,4.5,2,1,0,0,1
WSH,DAL,160,-190,3.5,2,1,0,0,1
IND,KC,240,-300,6.5,2,1,1,1,0
